statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
21611;Kulturstatistik;JAHR;Jahr;2000;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-RBB;Rundfunk Berlin-Brandenburg (RBB);HFSAT1;Art der Hörfunksendung;SEND-MUSIK;Musiksendungen;34162;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2009;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-RB;Radio Bremen (RB);HFSAT1;Art der Hörfunksendung;SEND-WORT;Wortsendungen;14805;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2002;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-RB;Radio Bremen (RB);HFSAT1;Art der Hörfunksendung;SEND-WORT;Wortsendungen;14932;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-WDR;Westdeutscher Rundfunk (WDR);HFSAT1;Art der Hörfunksendung;;Insgesamt;54977;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-SR;Saarländischer Rundfunk (SR);HFSAT1;Art der Hörfunksendung;;Insgesamt;35040;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2008;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-SWR;Südwestrundfunk (SWR);HFSAT1;Art der Hörfunksendung;SEND-WORT;Wortsendungen;28322;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-RB;Radio Bremen (RB);HFSAT1;Art der Hörfunksendung;SEND-WERBUNG;Werbefunk;403;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-BR;Bayerischer Rundfunk (BR);HFSAT1;Art der Hörfunksendung;SEND-WERBUNG;Werbefunk;349;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-DW;Deutsche Welle (DW);HFSAT1;Art der Hörfunksendung;SEND-WERBUNG;Werbefunk;-;h;SEND01;Sendezeit
21611;Kulturstatistik;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;RFOER1;Öffentlich-rechtliche Rundfunkanstalten;RFA-DW;Deutsche Welle (DW);HFSAT1;Art der Hörfunksendung;SEND-WORT;Wortsendungen;17057;h;SEND01;Sendezeit
